log_fci_size,one_norm,total_pstrings,n_qubits,n_elec,max_vertex_deg,min_vertex_deg,avg_vertex_deg,vertex_deg_std_dev,avg_edge_order,edge_order_std_dev,max_edge_weight,min_edge_weight,avg_edge_weight,edge_weight_std_dev,cisd,mp2,ccsd,ccsdt
19.29770667,80.12365009,9313,20,10,5519,1847,4647.8,1161.663359,9.981316439,4.077483579,21.14111864,1.07E-06,0.00860342,0.223569466,FALSE,FALSE,FALSE,FALSE
5.416100402,14.47741936,136,6,4,98,74,90,11.3137085,3.970588235,1.387661896,6.415500651,0.000142495,0.106451613,0.595024445,TRUE,TRUE,TRUE,TRUE
15.01318356,70.41987563,4777,16,8,3461,1103,2613.25,699.2910249,8.752773707,3.260159906,25.54298631,1.00E-08,0.014741444,0.380404599,FALSE,FALSE,FALSE,FALSE
22.51658249,311.6317436,5613,20,15,3289,1219,2732.8,608.076607,9.737395332,4.382742356,127.0659182,7.21E-08,0.055519641,1.753974938,FALSE,FALSE,FALSE,TRUE
23.62006596,101.1104555,17849,24,12,10503,2663,8674,2377.619468,11.66317441,4.682675215,39.91307152,1.97E-08,0.005664769,0.306114542,TRUE,TRUE,TRUE,TRUE
23.62006596,142.4946791,16401,24,12,9691,2537,8090,2182.817216,11.83830254,4.705556109,49.68176215,9.34E-08,0.00868817,0.396237168,FALSE,FALSE,TRUE,TRUE
10.78725509,30.20850734,781,12,6,505,271,430.6666667,75.83241758,6.61715749,2.928628196,10.91452349,4.54E-05,0.038679267,0.403800953,FALSE,FALSE,FALSE,FALSE
2.772588722,1.228859019,29,4,2,21,19,20,1,2.75862069,1.222072079,0.502008855,7.65E-07,0.042374449,0.093155618,TRUE,FALSE,TRUE,TRUE
8.050703381,33.36788426,125,8,6,79,47,57.5,13.06713435,3.68,1.336263447,15.04828112,0.000927658,0.266943074,1.425046739,TRUE,TRUE,TRUE,TRUE
15.01318356,44.04274821,2969,16,8,2025,695,1584.5,410.5889063,8.538901987,3.235546758,16.47981162,2.01E-07,0.014834203,0.310922621,FALSE,FALSE,FALSE,FALSE
19.29770667,106.2421002,18285,20,10,10839,3535,9150,2346.529054,10.00820345,3.918186909,38.89090728,1.03E-08,0.005810342,0.295639608,FALSE,FALSE,FALSE,FALSE
13.81750956,91.21054349,1832,14,8,1196,492,962,225.4544617,7.351528384,3.003965331,38.13459823,1.02E-08,0.049787415,0.94376428,FALSE,FALSE,FALSE,FALSE
15.01318356,69.18511577,3645,16,8,2283,935,1917,416.2685431,8.414814815,3.333695454,24.61859469,1.01E-08,0.018980827,0.421075595,TRUE,FALSE,FALSE,FALSE
27.96888576,186.0846325,18941,28,14,10801,2481,8781.714286,2482.505601,12.98178554,5.630317576,64.19515743,1.54E-07,0.009824435,0.474831206,FALSE,FALSE,FALSE,TRUE
6.66440902,9.373538896,413,8,4,287,187,256.5,40.39492542,4.968523002,1.673458091,3.590421257,1.07E-08,0.02269622,0.184151029,FALSE,FALSE,TRUE,TRUE
19.29770667,69.810807,7785,20,10,4859,1375,3699.2,1109.027664,9.503403982,3.81815559,27.22310335,1.02E-08,0.008967348,0.315937504,FALSE,FALSE,FALSE,FALSE
27.96888576,141.7343438,34617,28,14,19661,4793,16319.28571,4519.12086,13.19987289,6.152715761,42.59030084,1.01E-08,0.004094357,0.2325696,FALSE,FALSE,FALSE,FALSE
6.66440902,11.65203074,201,8,4,147,87,123.5,18.48648155,4.915422886,1.886799112,5.048174312,4.57E-06,0.057970302,0.377621753,TRUE,TRUE,TRUE,TRUE
15.01318356,64.0413761,2809,16,8,1701,609,1480.75,333.7827699,8.434318263,3.279445666,23.2124331,1.42E-06,0.022798639,0.450836788,TRUE,FALSE,TRUE,TRUE
19.29770667,93.22503187,4817,20,10,2843,971,2385,589.2822753,9.902428898,4.083672853,32.87708399,1.26E-08,0.019353339,0.485059181,FALSE,FALSE,FALSE,FALSE
19.29770667,112.7086256,6405,20,10,3893,953,2947.6,982.6822681,9.204059329,3.888257597,37.80984012,1.00E-08,0.017596975,0.484303434,FALSE,FALSE,FALSE,FALSE
19.29770667,94.59046811,12385,20,10,7487,2085,5970.6,1749.959611,9.641663302,3.83610224,33.4395101,1.01E-08,0.007637502,0.307853331,FALSE,FALSE,FALSE,TRUE
27.96888576,139.7822678,32597,28,14,18627,4483,15385.14286,4328.575316,13.21544927,5.401486469,53.20783912,1.97E-08,0.004288194,0.300718092,FALSE,TRUE,TRUE,TRUE
10.78725509,25.80257506,941,12,6,629,293,535,101.9509686,6.822529224,2.52413691,9.263202575,2.83E-05,0.027420377,0.312949369,TRUE,FALSE,FALSE,TRUE
15.20380392,173.470055,1352,14,10,850,366,710.5714286,156.0575509,7.357988166,2.997130497,69.35387495,5.74E-05,0.128306254,1.993239156,TRUE,FALSE,TRUE,TRUE
19.29770667,120.2921594,9313,20,10,5519,1847,4603,1152.597067,9.88510684,4.060704731,34.54104025,1.24E-06,0.012916585,0.365764292,FALSE,FALSE,FALSE,FALSE
2.772588722,2.104196613,29,4,2,21,19,20,1,2.75862069,1.222072079,0.840994529,0.000610383,0.072558504,0.154443388,TRUE,FALSE,TRUE,TRUE
15.01318356,71.03080523,2953,16,8,2019,695,1611.5,434.1460008,8.731459533,3.809733529,27.09992256,1.08E-06,0.024053778,0.515724388,TRUE,FALSE,TRUE,TRUE
6.66440902,9.708676632,349,8,4,257,147,213,36.81032464,4.88252149,1.699640431,3.778799777,1.80E-08,0.027818558,0.210866766,FALSE,FALSE,FALSE,FALSE
23.62006596,112.9533315,10301,24,12,5957,1691,4700.5,1259.341792,10.9515581,4.894784906,40.88370428,1.40E-07,0.010965278,0.41077847,FALSE,FALSE,FALSE,FALSE
22.51658249,299.1869578,7477,20,14,4665,1495,3722,931.2994148,9.955864652,4.03497872,117.7571376,1.01E-07,0.040014305,1.407742004,FALSE,FALSE,FALSE,TRUE
2.772588722,2.407618058,17,4,2,11,11,11,0,2.588235294,1.416658186,1.049758392,0.004248645,0.141624592,0.2426566,TRUE,TRUE,TRUE,TRUE
27.96888576,148.5438286,34797,28,14,19879,4877,16496.71429,4522.67142,13.27436273,5.990944635,48.98251205,1.00E-08,0.004268869,0.266940477,FALSE,FALSE,TRUE,TRUE
23.48759812,311.6632174,3085,20,16,1749,637,1425.6,304.402431,9.242139384,4.685233947,129.7367117,1.13E-08,0.101025354,2.417302717,TRUE,FALSE,FALSE,FALSE
15.01318356,66.25635199,1793,16,8,1141,329,800,307.7125282,7.138873397,2.803712435,21.95732625,1.49E-06,0.03695279,0.531592985,FALSE,FALSE,FALSE,FALSE
19.29770667,115.9150448,6585,20,10,4113,1087,3347.4,890.580395,10.1667426,4.065539694,42.03059961,9.30E-07,0.017602892,0.531172938,FALSE,FALSE,TRUE,TRUE
