molecule_name,max_vertex_degree,min_vertex_degree,mean_vertex_degree,std_dev_vertex_degree,max_weight,min_weight,mean_weight,std_dev_weight,max_edge_order,min_edge_order,mean_edge_order,std_dev_edge_order,one_norm,number_of_terms,log_fci_dim,n_elec,n_orbs,df_gap,SHCI,CCSDT,error,solved
Cr0_vdz,109094,12930,88312.51851851853,27450.576711705213,11.25832502192168,1.0433859422712685e-08,0.007147816,0.1320398850528719,53,1,22.471061100823192,11.113758691106812,1636.1143094511613,212224,15.878987548857342,14,54,25.488225752616525,-86.61203,-86.6113265,0.000703502,TRUE
c_h_cc-pVDZ,3719,1169,2932.894736842105,683.9108817549444,3.230316614805953,3.799440650378527e-08,0.028500937,0.1724940114447395,19,1,9.232107356,3.892011018372903,186.7320894635215,6037,6.574707545429493,7,19,7.3017915045092785,-38.38025307,-38.379665,0.000588072,TRUE
h3_c_s_h_cc-pVDZ,463916,49900,340013.4615384616,112602.90734675027,47.16778754575353,1.0000794779728452e-08,0.001289308,0.061782466,52,1,22.154655426046727,10.178514331162454,1102.6564395370074,798059,23.605565997974765,26,52,8.034611482386405,-438.055677,-438.054421,0.001256021,TRUE
p_h3_cc-pVDZ,117099,17793,91283.12121212122,29464.98862878448,41.21231529631812,1.0002823208912817e-08,0.002271397,0.09863169,33,1,14.948925358172588,6.099141844207082,532.0212402,201510,15.172433967835904,18,33,10.750424983710111,-342.6380539,-342.637272,0.000781851,TRUE
Ti0_vdz,109064,12924,88297.48148148147,27446.77771328084,10.431710603591108,1.0020082987635876e-08,0.006652181,0.1244809006480188,53,1,22.47274132657149,11.114977845699524,1537.4887205977984,212172,14.748251841895977,12,54,22.393749029528152,-57.88305,-57.88171776,0.001332239,TRUE
h_c_o_cc-pVDZ,52331,8539,42527.84848484849,11599.343200113222,5.709858741588939,1.0012152021253156e-08,0.005538365,0.078504924,33,1,15.404412491081718,6.629298380401512,516.7591073488654,91106,13.773155608391606,15,33,8.611132704590325,-113.5776516,-113.576014,0.001637581,FALSE
h_cl_cc-pVDZ,8107,1361,6058.478260869565,1748.7166193368214,55.505675605896734,1.0559723923723472e-08,0.022815115,0.5105613694712445,22,1,10.87273720349563,4.716109090623154,420.6721595,12817,11.82464608701384,18,23,13.691492877989322,-460.2549893,-460.254488,0.000501289,TRUE
h2_c_o_cc-pVDZ,108070,14458,79807.94736842105,24262.278222037305,5.4498944288218985,1.0002503098674932e-08,0.003778971,0.065368247,38,1,17.240763375269324,7.496263176868831,689.2208134,175904,15.37867974287644,16,38,8.696195278075546,-114.2196777,-114.218245,0.001432653,TRUE
O0_vdz,3164,894,2515.181818181818,657.9736549273932,6.0128965715673806,8.371578077452386e-05,0.075730496,0.354919796,21,1,9.380233937955586,4.548026575636364,491.4198558,5900,6.227826310353474,6,22,17.686288226645676,-15.78125,-15.78094099,0.000309009,TRUE
Cu0_vdz,884544,69916,677403.9474,212658.3480968015,16.30446918,1.0038170610967494e-08,0.004492215,0.089904536,75,1,33.38553602764084,15.239296189633292,7118.374076354743,1542067,27.67557953154689,25,76,35.44965371248051,-197.2369,-197.235506,0.001393973,TRUE
c_cc-pVDZ,478,184,390.7142857142857,90.93359317296849,2.700530384,0.000330496,0.1000007453725498,0.3074306405813348,13,1,6.071032186459489,2.862644311280061,94.88512711280814,902,4.959475469800412,6,14,7.204821072699721,-37.7606614,-37.760318,0.000343402,TRUE
c2_h2_cc-pVDZ,56038,9632,45093.57894736842,13570.74966053941,4.476744000181305,1.0102531620965769e-08,0.00641333,0.083181614,38,1,16.830424405527783,7.429732168277686,690.0630928461151,101814,14.202136329191784,14,38,8.851342200620753,-77.11057385,-77.109143,0.001430845,TRUE
c_h3_cl_cc-pVDZ,314889,30495,228488.36170212767,74541.37866967282,54.60135035651876,1.0000898670617073e-08,0.001695591,0.082902824,47,1,19.89107556,8.884708309362013,1020.1587195241516,539889,22.296445260684788,26,47,8.801595765174795,-499.4405866,-499.43952,0.001066555,TRUE
si2_cc-pVDZ,42746,6138,33882.444444444445,10596.262885366825,36.25323747050744,1.0020357737000429e-08,0.005201792,0.1916820865499373,35,1,16.017964543663822,7.027214170313856,567.7609075930601,76151,19.10945203065926,28,36,8.102703525138242,-577.9290782,-577.926781,0.002297214,FALSE
n_h2_cc-pVDZ,21150,5534,16937.5,4510.195902988398,4.262347137850847,1.0186500577859992e-08,0.00953311,0.1001832972424259,24,1,11.55946084285958,4.754686105738331,356.8881003480573,35167,8.654799614,9,24,9.744137597293005,-55.73311377,-55.732542,0.000571768,TRUE
si_o_cc-pVDZ,29620,4934,23757.0625,7213.9323011859315,35.94624349774877,1.0057456845068264e-08,0.007565321,0.1742154317379072,31,1,14.543656259565353,6.243056100364025,487.4964641119618,52273,16.221344234866493,22,32,7.390839870485125,-364.0821787,-364.080222,0.001956743,FALSE
f_cc-pVDZ,478,184,390.7142857142857,90.93359317296849,9.868259453527507,0.000371742,0.1509015212567317,0.5117011674226966,13,1,6.071032186459489,2.862644311280061,145.91464221409305,902,6.301898150622619,9,14,11.719740426916625,-99.52773502,-99.527536,0.000199021,TRUE
Fe1_vdz,109118,12924,88315.88888888889,27456.68181893385,12.349261327826737,1.3440083312007104e-08,0.008162364,0.1424714758961645,53,1,22.474460294346343,11.115443165714362,1845.3191265370715,212200,16.878987548857342,15,54,28.689355860768632,-123.23354,-123.233182,0.000358044,TRUE
Fe0_vdz,884794,69932,677689.7105263158,212751.8013061733,14.90493979763415,1.0429637946386128e-08,0.004259457,0.086073468,75,1,33.38563387074191,15.239856349441917,6786.913818276877,1542713,25.33762137,22,76,33.69562245587987,-123.51812,-123.5173388,0.000781221,TRUE
p_cc-pVDZ,1480,448,1204.7777777777778,308.9279951264364,42.40244619146856,1.181573069686327e-05,0.06754224,0.8343151532512006,17,1,7.894430287586458,3.778417855898823,281.83617599810816,2748,8.955486514254309,15,18,11.700305878824144,-340.7916883,-340.791314,0.000374269,TRUE
Sc0_vdz,109040,12910,88278.51851851853,27442.58257522067,9.947953554690836,1.0273816574821889e-08,0.006328924,0.1194675773452303,53,1,22.47172790911448,11.11418104639423,1468.8819117829955,212136,13.912108644534644,11,54,20.86920189743936,-46.39685,-46.39553809,0.001311908,TRUE
na_cl_cc-pVDZ,46962,7014,37513.05555555556,11627.896097900955,55.53944738041428,1.0022707311256197e-08,0.004836942,0.21427552,35,1,16.18802742616034,7.038962714049088,589.5520239396914,83425,19.15872040923209,28,36,10.908561146963542,-621.5890747,-621.588578,0.00049673,TRUE
cl2_cc-pVDZ,33112,4400,26080.222222222223,8176.361168063534,55.87454574138278,1.007826015389244e-08,0.00871769,0.3337406119351779,35,1,15.467677100494232,6.939626183940775,816.3474856443979,60701,19.868744025492543,34,36,11.350396555877197,-919.264015,-919.262855,0.001160027,TRUE
o_cc-pVDZ,478,184,390.7142857142857,90.93359317296849,6.935273098136942,0.000376758,0.1342227186059656,0.4278421121396106,13,1,6.071032186459489,2.862644311280061,124.65454663705503,902,5.862565456792356,8,14,10.18282611423544,-74.91006464,-74.909867,0.000197639,TRUE
